date,home,away,home_score,away_score,ht_home,ht_away,shots_home,shots_away,sot_home,sot_away,fouls_home,fouls_away,corners_home,corners_away,yellow_home,yellow_away,red_home,red_away,possession_home,possession_away,pass_acc_home,pass_acc_away,tackles_home,tackles_away,saves_home,saves_away
2026-03-11,Atlético-MG,Internacional,1,0,1,0,6,18,3,8,15,18,2,14,2,3,0,0,37,63,75,85,8,14,10,1
2026-03-11,Bahia,Vitória,1,1,1,1,7,4,5,2,11,10,4,0,1,1,0,0,55,45,89,86,5,12,1,2
2026-03-11,Flamengo,Cruzeiro,2,0,1,0,11,10,5,4,20,13,4,7,2,2,0,0,47,53,87,86,16,10,10,4
2026-03-11,Corinthians,Coritiba,0,2,0,1,7,5,1,2,15,16,7,6,2,2,0,0,66,34,87,73,9,12,1,3
2026-03-11,Mirassol,Santos,2,2,1,0,20,16,9,2,9,7,6,7,2,2,0,0,54,46,,,,,,
2026-03-11,Atletico-MG,Internacional,1,0,1,0,7,19,3,7,16,20,2,14,2,3,0,0,35,65,,,,,,
2026-03-11,Bahia,Vitoria,1,1,1,1,13,6,7,2,17,19,7,3,1,1,0,0,63,37,,,,,,
2026-03-12,Remo,Fluminense,0,2,0,1,6,11,2,7,6,13,4,4,2,1,0,0,35,65,80,91,10,14,5,3
2026-03-12,Vasco,Palmeiras,2,1,0,1,10,4,4,1,6,18,9,4,2,2,0,0,50,50,81,85,14,19,2,7
2026-03-12,São Paulo,Chapecoense,2,0,0,0,12,4,7,1,11,10,11,7,0,1,0,0,58,42,83,74,10,5,3,7
2026-03-12,Grêmio,Bragantino,1,1,1,0,8,14,4,7,13,12,4,6,2,4,0,0,42,58,72,84,8,16,6,4
2026-03-12,Corinthians,Coritiba,0,2,0,1,11,4,1,2,15,18,8,6,2,2,0,0,73,27,,,,,,
2026-03-12,Flamengo RJ,Cruzeiro,2,0,1,0,15,13,7,4,19,13,4,7,2,2,0,0,44,56,,,,,,
2026-03-12,Sao Paulo,Chapecoense-SC,2,0,0,0,18,7,7,1,13,12,11,6,0,1,0,0,63,37,,,,,,
2026-03-13,Gremio,Bragantino,1,1,1,0,13,20,6,8,13,13,4,6,2,4,0,0,39,61,,,,,,
2026-03-14,Vitória,Atlético-MG,2,0,1,0,8,7,4,3,17,13,4,8,2,3,0,0,40,60,76,84,16,13,4,3
2026-03-14,Botafogo,Flamengo,0,3,0,2,5,13,1,5,16,9,2,4,3,2,1,0,44,56,86,91,13,23,6,3
2026-03-14,Vitoria,Atletico-MG,2,0,1,0,9,12,4,3,18,13,4,10,2,3,0,0,33,67,,,,,,
2026-03-14,Botafogo RJ,Flamengo RJ,0,3,0,2,7,18,1,6,16,10,2,4,4,2,1,0,42,58,,,,,,
2026-03-15,Fluminense,Athletico-PR,3,2,2,1,15,4,10,2,14,7,6,1,2,2,0,1,70,30,93,73,12,11,0,10
2026-03-15,Santos,Corinthians,1,1,1,1,9,6,5,4,20,15,4,6,5,2,0,0,47,53,77,84,19,14,4,4
2026-03-15,Internacional,Bahia,0,1,0,1,9,5,2,1,18,20,7,1,3,2,0,0,50,50,77,82,14,10,3,4
2026-03-15,Palmeiras,Mirassol,1,0,1,0,10,6,4,2,13,17,2,4,2,3,0,0,50,50,82,86,10,11,5,5
2026-03-15,Coritiba,Remo,1,0,1,0,4,10,3,1,11,11,4,6,2,3,0,0,45,55,78,82,13,9,1,2
2026-03-15,Bragantino,São Paulo,1,2,1,0,11,4,3,3,18,13,6,4,4,4,0,0,50,50,79,81,13,9,1,4
2026-03-15,Cruzeiro,Vasco,3,3,1,0,17,11,7,6,8,11,6,5,1,3,0,1,53,47,85,80,12,7,6,7
2026-03-15,Bragantino,Sao Paulo,1,2,1,0,13,4,3,3,18,13,6,4,4,4,0,0,50,50,,,,,,
2026-03-16,Chapecoense,Grêmio,1,1,1,1,7,8,1,4,16,8,4,5,3,3,0,0,39,61,80,88,19,5,8,5
2026-03-16,Chapecoense-SC,Gremio,1,1,1,1,11,13,1,4,16,10,4,5,3,3,0,0,35,65,,,,,,
2026-03-18,Palmeiras,Botafogo,2,1,1,0,17,5,7,3,12,12,5,1,1,2,0,1,52,48,86,82,18,20,4,6
2026-03-18,Bahia,Bragantino,2,0,2,0,13,8,9,2,15,15,5,7,3,1,0,0,55,45,88,79,15,12,4,8
2026-03-18,Athletico-PR,Cruzeiro,2,1,2,0,5,10,3,2,18,14,4,4,2,3,0,0,54,46,85,83,8,5,4,1
2026-03-18,Mirassol,Coritiba,0,1,0,0,14,10,5,4,8,11,7,2,2,2,0,0,63,37,89,76,3,14,7,6
2026-03-18,Atlético-MG,São Paulo,1,0,0,0,7,6,4,2,15,15,4,1,1,1,0,0,38,62,78,87,14,6,4,7
2026-03-18,Vasco,Fluminense,3,2,0,1,12,10,6,5,9,10,5,5,2,0,0,0,50,50,84,83,15,12,7,5
2026-03-18,Santos,Internacional,1,2,0,0,8,11,2,6,6,10,3,8,4,3,0,0,55,45,81,70,15,14,10,4
2026-03-18,Palmeiras,Botafogo RJ,2,1,1,0,19,6,6,3,13,13,6,1,1,3,0,1,52,48,,,,,,
2026-03-18,Atletico-MG,Sao Paulo,1,0,0,0,13,12,4,3,16,17,4,1,1,1,0,0,29,71,,,,,,
2026-03-19,Grêmio,Vitória,2,0,1,0,9,5,4,0,11,17,4,5,1,3,0,0,52,48,81,82,10,7,2,7
